variable_name,variable_label,max_waves,ALB,AND,ARG,ARM,AUS,AZE,BFA,BGD,BGR,BIH,BLR,BOL,BRA,CAN,CHE,CHL,CHN,COL,CYP,CZE,DEU,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FRA,GBR,GEO,GHA,GRC,GTM,HKG,HRV,HTI,HUN,IDN,IND,IRN,IRQ,ISR,ITA,JOR,JPN,KAZ,KEN,KGZ,KOR,KWT,LBN,LBY,LTU,LVA,MAC,MAR,MDA,MDV,MEX,MKD,MLI,MMR,MNE,MNG,MYS,NGA,NIC,NIR,NLD,NOR,NZL,PAK,PER,PHL,POL,PRI,PSE,QAT,ROU,RUS,RWA,SAU,SGP,SLV,SRB,SVK,SVN,SWE,THA,TJK,TTO,TUN,TUR,TWN,TZA,UGA,UKR,URY,USA,UZB,VEN,VNM,YEM,ZAF,ZMB,ZWE
S018,Equilibrated weight-1000,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S020,Year survey,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S021,Country - wave - study - set - year,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S022,Year/month of start-fieldwork,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S023,Year/month of end-fieldwork,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S024,Country - wave,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
S025,Country - year,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A001,Important in life: Family,6,2,2,6,3,4,2,1,3,2,2,3,1,5,4,3,6,6,3,3,3,4,1,2,2,4,5,2,2,2,1,2,3,2,1,2,3,1,1,2,3,5,3,4,0,1,4,6,2,1,3,6,1,2,2,1,1,1,4,3,1,6,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,5,3,1,2,2,6,4,1,1,4,4,6,1,3,3,1,5,1,3
A002,Important in life: Friends,6,2,2,6,3,4,2,1,3,2,2,3,1,5,4,3,6,6,3,3,3,4,1,2,2,4,5,2,2,2,1,2,3,2,1,2,3,1,1,2,3,5,3,4,0,1,4,6,2,1,3,6,1,2,2,1,1,1,4,3,1,6,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,5,3,1,2,2,6,4,1,1,4,4,6,1,3,3,1,5,1,3
A003,Important in life: Leisure time,6,2,2,6,3,4,2,1,3,2,2,3,1,5,4,3,6,6,3,3,3,4,1,2,2,4,5,2,2,2,1,2,3,2,1,2,3,1,1,2,3,5,3,4,0,1,4,6,2,1,3,6,1,2,2,1,1,1,4,3,1,6,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,5,3,1,2,2,6,4,1,1,4,4,6,1,3,3,1,5,1,3
A004,Important in life: Politics,6,2,2,6,3,4,2,1,3,2,2,3,1,5,4,3,6,6,3,3,3,4,1,2,2,4,5,2,2,2,1,2,3,2,1,2,3,1,1,2,3,5,3,4,0,1,4,6,2,1,3,6,1,2,2,1,1,1,4,3,1,6,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,5,3,1,2,2,6,4,1,1,4,4,6,1,3,3,1,5,1,3
A005,Important in life: Work,6,2,2,6,3,4,2,1,3,2,2,3,1,5,4,3,6,6,3,3,3,4,1,2,2,4,5,2,2,2,1,2,3,2,1,2,3,1,1,2,3,5,3,4,0,1,4,6,2,1,3,6,1,2,2,1,1,1,4,3,1,6,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,5,3,1,2,2,6,4,1,1,4,4,6,1,3,3,1,5,1,3
A006,Important in life: Religion,6,2,2,6,3,4,2,1,3,2,2,3,1,5,4,3,6,6,3,3,3,4,1,2,2,4,5,2,2,2,1,2,3,2,1,2,3,1,1,2,3,5,3,4,0,1,4,6,2,1,3,6,1,2,2,1,1,1,4,3,1,6,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,5,3,1,2,2,6,4,1,1,4,4,6,1,3,3,1,5,1,3
A008,Feeling of happiness,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,6,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A009,State of health (subjective),7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,3,1,2,3,2,1,2,3,1,1,3,3,5,3,4,0,1,4,7,2,1,3,6,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,4,3,1,1,4,5,2,1,2,1,4,3,3,5,3,1,2,2,6,4,1,1,4,4,7,1,2,3,1,6,1,3
A010,Ever felt very excited or interested,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A011,Ever felt restless,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A012,Ever felt proud because someone complimented you,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A013,Ever felt very lonely or remote from other people,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A014,Ever felt pleased about having accomplished something,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A015,Ever felt bored,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A016,Ever felt on top of the world,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A017,Ever felt depressed or very unhappy,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A018,Ever felt that things were going your way,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A019,Ever felt upset because somebody criticized you,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
A025,Respect and love for parents,5,2,0,4,1,1,1,0,2,1,2,2,0,2,3,2,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,4,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,2,2,2,1,2,0,0,1,2,0,1,1,1,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,2,1,0,4,0,1
A026,Parents responsibilities to their children,5,2,0,4,1,1,1,0,2,1,2,2,0,2,3,2,3,3,1,0,2,1,1,1,0,1,3,1,0,2,0,0,1,0,0,0,0,1,0,2,1,3,1,0,0,0,1,4,0,0,1,4,0,0,0,1,1,0,1,2,0,4,2,0,0,2,0,0,3,0,0,0,1,1,2,2,2,1,2,0,0,1,2,0,1,1,1,2,2,1,5,0,0,0,0,3,1,1,1,1,1,4,0,2,1,0,4,0,1
A027,Important child qualities: Good manners,5,1,1,5,2,3,1,0,2,1,1,2,1,3,3,2,3,3,2,1,3,2,1,1,1,2,2,1,1,1,0,1,1,0,1,1,1,1,0,2,2,2,2,2,1,0,2,4,1,1,1,4,0,1,1,1,1,1,1,1,1,4,1,0,1,1,1,1,4,1,1,1,1,2,3,2,2,1,2,0,0,2,3,0,1,1,1,2,3,1,4,1,1,0,1,4,2,0,0,2,2,4,0,2,1,0,3,0,1
A029,Important child qualities: independence,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,3,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A030,Important child qualities: Hard work,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,3,3,5,3,3,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,3,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A032,Important child qualities: feeling of responsibility,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,3,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A034,Important child qualities: imagination,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,2,1,2,3,2,1,2,3,1,1,3,3,5,3,3,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,3,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A035,Important child qualities: tolerance and respect for other people,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,3,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A038,Important child qualities: thrift saving money and things,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,3,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A039,Important child qualities: determination perseverance,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,2,6,6,4,3,3,4,1,2,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,3,3,5,3,3,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,2,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A040,Important child qualities: religious faith,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,5,4,3,3,4,1,2,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,2,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A041,Important child qualities: unselfishness,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,2,1,2,3,2,1,2,3,1,1,3,3,5,3,3,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,3,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A042,Important child qualities: obedience,7,2,2,7,3,5,2,1,3,2,2,3,1,5,5,3,6,6,4,3,3,4,1,2,2,4,5,2,2,2,1,3,3,2,1,2,3,1,1,3,3,5,3,4,1,1,4,7,2,1,3,7,1,2,2,1,1,1,4,3,1,7,2,1,1,2,1,3,5,1,1,3,2,4,4,5,4,3,3,1,1,4,5,2,1,3,1,4,3,3,6,3,1,2,2,6,4,1,1,4,4,7,1,3,3,1,6,1,3
A043B,Important child qualities: Self-expression,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1
